pk, name, city
1, A.P. University of Law,1
2, Acharya N. G. Ranga Agricultural University,3
3, Acharya Nagarjuna University,3
4, Adikavi Nannaya University,3
5, Andhra Pradesh Open University,707
6, Andhra University,1
7, Dr. B.R. Ambedkar University,15
8, Dr. Nandamuri Taraka Rama Rao University of Health Sciences,2
9, Dravidian University,7
10, Jawaharlal Nehru Architecture and Fine Arts University,707
11, Jawaharlal Nehru Technological University,707
12, West Bengal University of Health Sciences,832
13, West Bengal University of Technology,832
14, Kakatiya University,8
15, Krishna University,14
16, Mahatma Gandhi University Nalgonda,707
17, National Academy of Legal Studies and Research,707
18, Osmania University,707
19, Palamuru University, 707
20, Potti Sreeramulu Telugu University,707
21, Rajiv Gandhi University of Knowledge Technologies,12
22, Rayalaseema University,5
23, Satavahana University,710
24, Sri Krishnadevaraya University,10
25, Sri Padmavati Mahila Visvavidyalayam,7
26, Sri Venkateswara Institute of Medical Sciences,7
27, Sri Venkateswara University,7
28, Sri Venkateswara Vedic University,7
29, Sri Venkateswara Veterinary University,7
30, Telangana University, 709
31, Vikrama Simhapuri University, 4
32, Yogi Vemana University, 9
33, Assam Agricultural University, 54
34, Dibrugarh University, 53
35, Gauhati University, 51
36, Krishna Kanta Handique State Open University, 51
37, Aryabhatta Knowledge University, 71
38, B. R. Ambedkar Bihar University, 74
39, Bhupendra Narayan Mandal University, 106
40, Chanakya National Law University, 71
41, Jai Prakash University, 82
42, Kameshwar Singh Darbhanga Sanskrit University, 76
43, Lalit Narayan Mithila University, 76
44, Magadh University, 72
45, Maulana Mazharul Haque Arabic and Persian University, 71
46, Nalanda Open University, 71
47, Patna University, 71
48, Rajendra Agricultural University, 111
49, Tilka Manjhi Bhagalpur University, 73
50, Veer Kunwar Singh University, 78
51, Panjab University , 563
52, Ayush and Health Sciences University of Chhattisgarh, 115
53, Bastar University, 124
54, Chhattisgarh Swami Vivekanand Technical University, 116
55, Hidayatullah National Law University, 115
56, Indira Gandhi Agricultural University, 115
57, Indira Kala Sangeet University, 142
58, Kushabhau Thakre Patrakarita Avam Jansanchar University, 115
59, Pandit Ravishankar Shukla University, 115
60, Pandit Sundarlal Sharma (Open) University, 244
61, Sarguja University, 122
62, Bharat Ratna Dr. B. R. Ambedkar University, 74
63, 148 Technological University, 148
64, Guru Gobind Singh Indraprastha University, 148
65, Indraprastha Institute of Information Technology, 148
66, National Law University Delhi, 148
67, Goa University, 178
68, Anand Agricultural University, 195
69, Maharaja Krishnakumarsinhji Bhavnagar University, 193
71, Centre for Environmental and Planning Technology University, 189
72, Dharamsinh Desai University, 198
73, Dr. Babasaheb Ambedkar Open University, 189
74, Gujarat Ayurved University, 194
75, Gujarat Forensic Sciences University, 190
76, Gujarat National Law University, 190
77, Gujarat Technological University, 189
78, Gujarat University, 189
79, Hemchandracharya North Gujarat University, 210
80, Krantiguru Shyamji Krishna Verma Kachchh University, 202
81, Maharaja Sayajirao University of Baroda, 191
82, Sardar Patel University, 195
83, Sardarkrushinagar Dantiwada Agricultural University, 204
84, Saurashtra University, 192
85, Shree Somnath Sanskrit University, 194
86, Veer Narmad South Gujarat University, 188
87, Bhagat Phool Singh Mahila Vishwavidyalaya, 158
88, Chaudhary Charan Singh Haryana Agricultural University, 155
89, Chaudhary Devi Lal University, 153
90, Deenbandhu Chhotu Ram University of Science and Technology, 158
91, Guru Jambheshwar University of Science and Technology, 155
92, Kurukshetra University, 150
93, Lala Lajpat Rai University of Veterinary and Animal Sciences, 155
94, Maharishi Dayanand University, 160
95, Pandit Bhagwat Dayal Sharma University of Health Sciences, 160
96, YMCA University of Science and Technology, 154
97, Chaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya, 204
98, Dr. Yashwant Singh Parmar University of Horticulture and Forestry, 233
99, Himachal Pradesh Technical University, 243
100, Himachal Pradesh University, 231
101, Baba Ghulam Shah Badhshah University, 866
102, Islamic University of Science and Technology, 881
103, Sher-e-Kashmir University of Agricultural Sciences and Technology of Kashmir, 863
104, Shri Mata Vaishno Devi University, 882
105, University of Jammu, 862
106, University of Kashmir, 863
107, Birsa Agricultural University, 245
108, Kolhan University, 256
109, National University of Study and Research in Law, 245
110, Nilamber-Pitamber University, 249
111, Ranchi University, 245
112, Sido Kanhu University, 248
113, Vinoba Bhave University, 94
114, 270 University, 270
115, Davangere University, 276
116, Gulbarga University, 275
117, Kannada University, 272
118, Karnatak University, 301
119, Karnataka Samskrit University, 270
120, Karnataka State Law University, 272
121, Karnataka State Open University, 271
122, Karnataka State Women's University, 140
123, Karnataka Veterinary Animal and Fisheries Sciences University, 732
124, KSGH Music and Performing Arts University, 271
125, Kuvempu University, 279
126, Mangalore University, 273
127, National Law School of India University, 270
128, Rajiv Gandhi University of Health Sciences, 270
129, Rani Channamma University, 274
130, Tumkur University, 280
131, University of Agricultural Sciences, 270
132, West Bengal University of Animal and Fishery Sciences,832
133, University of Mysore, 271
134, Visvesvaraya Technological University, 274
135, Vijayanagara Sri Krishnadevaraya University, 277
136, Calicut University, 317
137, Cochin University of Science and Technology,316
138, Kannur University, 321
139, Kerala Agricultural University, 318
140, Kerala University of Fisheries and Ocean Studies,316
141, Kerala University of Health Sciences, 318
142, Kerala Veterinary and Animal Sciences University, 334
143, Mahatma Gandhi University, 320
144, National University of Advanced Legal Studies,316
145, Sree Sankaracharya University of Sanskrit, 321
146, University of Kerala, 315
147, Awdhesh Pratap Singh University, 165
148, Barkatullah University, 349
149, Devi Ahilya University, 350
150, Jawaharlal Nehru Agricultural University, 351
151, Jiwaji University, 352
152, Madhya Pradesh Bhoj Open University, 349
153, Maharishi Mahesh Yogi Vedic Vishwavidyalaya, 359
154, Maharshi Panini Sanskrit University, 353
155, Mahatma Gandhi Chitrakoot Gramoday University, 368
156, Makhanlal Chaturvedi National University of Journalism, 349
157, National Law Institute University, 349
158, Rajiv Gandhi Technical University, 349
159, Rani Durgavati University, 351
160, Madhya Pradesh Pashu-Chikitsa Vigyan Vishwavidyalaya, 351
161, Vikram University, 353
162, Dr. Babasaheb Ambedkar Marathwada University, 102
163, Dr. Babasaheb Ambedkar Technological University, 118
164, Dr. Balasaheb Sawant Konkan Krishi Vidyapeeth, 40
165, Dr. Panjabrao Deshmukh Krishi Vidyapeeth, 414
166, Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, 401
167, Maharashtra Animal and Fishery Sciences University, 401
168, Maharashtra University of Health Sciences, 403
169, Mahatma Phule Krishi Vidyapeeth, 417
170, Marathwada Agricultural University, 420
171, North Maharashtra University, 416
172, Rashtrasant Tukadoji Maharaj Nagpur University, 401
173, Sant Gadge Baba Amravati University, 411
174, Shivaji University, 413
175, Shreemati Nathibai Damodar Thackersey Women's University, 399
176, Solapur University, 408
177, Swami Ramanand Teerth Marathwada University, 413
178, University of Mumbai, 399
179, University of Pune, 400
180, Yashwantrao Chavan Maharashtra Open University, 403
181, Berhampur University, 555
182, Biju Patnaik University of Technology, 510
183, Fakir Mohan University, 515
184, National Law University Orissa, 509
185, North Orissa University, 518
186, Orissa University of Agriculture and Technology, 508
187, Ravenshaw University, 509
188, Sambalpur University, 512
189, Shri Jagannath Sanskrit Vishvavidyalaya, 513
190, Utkal University, 508
191, Utkal University of Culture, 508
192, Veer Surendra Sai University of Technology Burla, 512
193, Baba Farid University of Health Sciences, 579
194, Guru Angad Dev Veterinary and Animal Sciences University, 558
195, Guru Nanak Dev University, 557
196, Punjab Agricultural University, 558
197, Punjab Technical University, 566
198, Punjabi University, 560
199, Rajiv Gandhi National University of Law, 560
200, Jagadguru Ramanadacharya Rajasthan Sanskrit University, 582
201, Jai Narain Vyas University, 583
202, Maharaja Ganga Singh University, 585
203, Maharana Pratap University of Agriculture and Technology, 587
204, Maharshi Dayanand Saraswati University, 586
205, Mohanlal Sukhadia University, 587
206, National Law University Jodhpur, 583
207, Rajasthan Agricultural University, 585
208, Rajasthan Ayurved University, 583
209, Rajasthan Technical University, 584
210, Rajasthan University of Health Sciences, 582
211, University of Kota, 584
212, University of Rajasthan, 582
213, Vardhaman Mahaveer Open University, 584
214, Aliah University,832
215, Bengal Engineering and Science University Shibpur, 639
216, Bidhan Chandra Krishi Viswavidyalaya, 198
217, Jadavpur University,832
218, Netaji Subhas Open University,832
219, Presidency University Kolkata,832
220, Rabindra Bharati University,832
221, Sidho Kanho Birsha University, 857
222, University of Burdwan, 836
223, University of Calcutta,832
224, Madurai Kamaraj University, 658
225, Manonmaniam Sundaranar University, 661
226, Mother Teresa Women's University, 742
227, Periyar University, 660
228, Tamil University, 685
229, Tamil Nadu Agricultural University, 657
230, Tamil Nadu Dr. Ambedkar Law University, 656
231, Tamil Nadu Dr. M.G.R. Medical University, 656
232, Tamil Nadu Open University, 656
233, Tamil Nadu Physical Education and Sports University, 656
234, Tamil Nadu Teacher Education University, 656
235, Tamil Nadu Veterinary and Animal Sciences University, 656
236, Thiruvalluvar University, 664
237, University of Madras, 656
238, Bundelkhand University, 609
239, Chandra Shekhar Azad University of Agriculture and Technology, 763
240, Chaudhary Charan Singh University, 766
241, Chhatrapati Shahuji Maharaj Medical University, 761
242, Chhatrapati Shahu Ji Maharaj University, 763
243, Deen Dayal Upadhyay  University, 793
244, Dr. B. R. Ambedkar University,765
245, Dr. Ram Manohar Lohia Avadh University, 792
246, Dr. Ram Manohar Lohia National Law University, 761
247, Dr. Shakuntala Misra Rehabilitation University, 761
248, Gautam Buddha University, 768
249, Gautam Buddh Technical University, 761
250, M. J. P. Rohilkhand University, 769
251, Mahamaya Technical University, 768
252, Mahatma Gandhi Kashi Vidyapeeth, 767
253, Manyavar Sri Kanshi Ram Ji Urdu, 761
